Row 0 (6 cells): ['', '', '', '', '', '']
Row 1 (6 cells): ['روشنک   (گوینده)', '', '', '', '', '']
Row 2 (4 cells): ['', 'سر كوی دوست عمری قدم از وفا زدم من', 'به هوای   وصل جانان پر و بال ها زدم من', '']
Row 3 (4 cells): ['', 'به فروغ دیدۀ دل شبِ هجر صبح كردم', 'به فراغ   جان رسیدم چو می صفا زدم من', '']
Row 4 (4 cells): ['', 'نه به دیر پا نهادم نه به مسجد و كلیسا', 'كه ز راه   كعبه ی دل به ره خدا زدم من', '']
Row 5 (4 cells): ['', 'ز حبیب هرچه دیدم به شكیب خود فزودم', 'نه به لابه لب گشودم نه دم از جفا زدم من', '']
Row 6 (4 cells): ['', 'چو به كوی آشنایی به از این دری ندیدم', 'به هزار\xa0 در\xa0   نرفتم\xa0 در\xa0 آشنا\xa0   زدم\xa0 من', '']
Row 7 (4 cells): ['', 'نه به دیر پا نهادم نه به مسجد و كلیسا', 'كه ز   راه\xa0 كعبۀ\xa0 دل به ره خدا زدم من', '']
Row 8 (4 cells): ['', '', '', 'کاظم رجوی   (غزل)']
Row 9 (4 cells): ['', 'به خدا كه سینۀ من بشكاف و دل برون كن', 'كه درون خانۀ تو دگری چه كار دارد', '']
Row 10 (4 cells): ['', '', '', 'امیرخسرو   \xa0\xa0دهلوی']
Row 11 (4 cells): ['', 'به خدا كه مِهرت از سر نشود به جُور زائل', 'كه فروغِ ذات عشق است و نباشدش زوالی', '']
Row 12 (4 cells): ['', '', '', 'ذوقی اصفهانی (غزل)']
Row 13 (4 cells): ['', 'به خدا اگر به دَردَم بكُشی كه برنگردم', 'كسی از تو چون گریزد كه تو اش گریزگاهی', '']
Row 14 (4 cells): ['', '', '', 'سعدی (غزل)']
Row 15 (4 cells): ['بنان (ترانه)', '', '', '']
Row 16 (4 cells): ['', 'مرا عاشقی شیدا\xa0 ، فارغ از دنیا   تو كردی', 'مرا عاقبت رسوا ، مست و بی پروا تو كردی', '']
Row 17 (4 cells): ['', 'نداند كس جانا چه كردی', 'چه ها كردی با ما\xa0 ،\xa0 چه   كردی', '']
Row 18 (4 cells): ['', 'نه یك دم از جُورَت فغان كردم', 'نه دستی سوی آسمان كردم', '']
Row 19 (4 cells): ['', 'منم اكنون چون خاكِ راهی', 'غباری در شامِ سیاهی', '']
Row 20 (4 cells): ['', 'اگر مِهری رَخشد تو آن مِهری', 'اگر ماهی تابد تو آن ماهی', '']
Row 21 (4 cells): ['', 'اگر هستی پاید ، تو هستی', 'اگر بودی باید ، تو بودی', '']
Row 22 (4 cells): ['', 'بی لطف و صفا باشد به خدا بی تو هستی ها', 'از دیدارَت از رخسارَت پیدا بینم\xa0 سرمستی ها', '']
Row 23 (4 cells): ['', 'شمیم روح افزایی، مُشکی ،عُودی', 'منیرِ بزم آرایی، چنگی ، رودی', '']
Row 24 (4 cells): ['', '', '', 'منیره طه']
Row 25 (4 cells): ['روشنک (گوینده)', '', '', '']
Row 26 (4 cells): ['', 'هم زلف پریشانِ تو برگشته ز ما', 'هم عشوه ی پنهان تو برگشته ز ما', '']
Row 27 (4 cells): ['', 'می داد گهی داد اسیران نگهت', 'او نیز چو مژگان تو برگشته ز ما', '']
Row 28 (4 cells): ['', '', '', 'كلیم همدانی (غزل)']
Row 29 (4 cells): ['زن ناشناس (گوینده)', '', '', '']
Row 30 (4 cells): ['', 'ز عَرش می رسد\xa0 این بانگ و   از حریم خداست', 'فرشته ایست تو گویی كه در مقام دعاست', '']
Row 31 (4 cells): ['', 'به گمرهان طریقت ندا همی دارد', 'كه راه باز شناسید این طریق خطاست', '']
Row 32 (4 cells): ['', 'نه هر كه خانۀ جان سوخت عاشقی آموخت', 'نخست مرحلۀ عاشقی قبول وفاست', '']
Row 33 (4 cells): ['', 'شما شراب رُخان شهر را شراب دهید', 'كنون كه ساغر پیر مغان به شادی ماست', '']
Row 34 (4 cells): ['', 'گروه گمشدگان را به حال خود بگذار', 'بیا به جمع خراباتیان كه صلح و   صفاست', '']
Row 35 (4 cells): ['', 'نه ساز توست نه آواز من نه شعر منیر', 'به هوش باش مُغَنی كه این صدای   خداست', '']
Row 36 (4 cells): ['', '', '', 'منیره طه']
Row 37 (4 cells): ['روشنک (گوینده)', '', '', '']
Row 38 (4 cells): ['', 'سر نهادیم به سودای كسی كاین سر از   اوست', 'نه همین سر كه تن و جان و جهان یك سر از اوست', '']
Row 39 (4 cells): ['', 'من به دل دارم و شاهد به رخ و شمع به سر', 'آنچه پروانۀ\xa0 دل سوخته را   در پَر از اوست', '']
Row 40 (4 cells): ['', '', '', 'معتمدالدوله\xa0 نشاط اصفهانی (غزل)']
Row 41 (4 cells): ['بنان   (ترانه)', '', '', '']
Row 42 (4 cells): ['', 'اگر مِهری رَخشد تو آن مِهری', 'اگر ماهی تابد تو آن ماهی', '']
Row 43 (4 cells): ['', 'اگر هستی پاید ، تو هستی', 'اگر بودی باید ، تو بودی', '']
Row 44 (4 cells): ['', 'بی لطف و صفا باشد به خدا بی تو هستی ها', 'از دیدارَت از رخسارَت پیدا بینم\xa0 سرمستی ها', '']
Row 45 (4 cells): ['', 'شمیم روح افزایی، مُشکی ،عُودی', 'منیرِ بزم آرایی، چنگی ، رودی', '']
Row 46 (4 cells): ['', '', '', 'منیره طه']
Row 47 (4 cells): ['روشنک (گوینده)', '', '', '']
Row 48 (3 cells): ['', 'اين هم چند گلی بود رنگارنگ از گلزار بی همتای   ادب ايران. هميشه شاد و هميشه خوش باشيد.', '']
